custAge,profession,marital,schooling,housing,loan,contact,month,day_of_week,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pastEmail,responded,profit
34,admin.,single,university.degree,no,yes,cellular,apr,wed,2,0,-1.8,93.075,-47.1,1.498,5099.1,0,no,0
31,services,single,high.school,no,no,cellular,jul,thu,35,0,1.4,93.918,-42.7,4.968,5228.1,0,no,0
36,admin.,single,high.school,no,no,telephone,jun,mon,1,0,1.4,94.465,-41.8,4.961,5228.1,0,no,0
52,admin.,divorced,university.degree,yes,no,cellular,jul,tue,2,0,1.4,93.918,-42.7,4.962,5228.1,0,no,0
39,blue-collar,single,high.school,yes,no,cellular,jul,tue,6,0,1.4,93.918,-42.7,4.961,5228.1,0,no,0
40,entrepreneur,married,university.degree,yes,no,telephone,jun,thu,3,0,1.4,94.465,-41.8,4.866,5228.1,0,no,0
50,technician,single,professional.course,no,no,cellular,jul,tue,3,0,1.4,93.918,-42.7,4.961,5228.1,0,no,0
41,technician,married,professional.course,no,no,cellular,oct,thu,2,0,-3.4,92.431,-26.9,0.741,5017.5,0,no,0
23,blue-collar,single,basic.4y,yes,no,telephone,jun,fri,10,0,1.4,94.465,-41.8,4.959,5228.1,0,no,0
29,technician,married,professional.course,yes,no,cellular,aug,mon,3,0,1.4,93.444,-36.1,4.965,5228.1,0,no,0
57,retired,married,high.school,no,no,telephone,jun,wed,2,0,1.4,94.465,-41.8,4.961,5228.1,0,no,0
33,blue-collar,married,basic.9y,no,no,cellular,jul,mon,4,0,1.4,93.918,-42.7,4.96,5228.1,0,no,0
33,technician,married,university.degree,yes,no,telephone,oct,wed,1,1,-1.1,94.601,-49.5,0.985,4963.6,2,no,0
59,housemaid,married,high.school,no,no,telephone,jun,thu,12,0,1.4,94.465,-41.8,4.958,5228.1,0,no,0
38,technician,married,university.degree,no,no,cellular,may,fri,1,1,-1.8,92.893,-46.2,1.313,5099.1,1,no,0
44,blue-collar,married,basic.9y,yes,yes,cellular,may,mon,2,0,-1.8,92.893,-46.2,1.299,5099.1,0,no,0
41,technician,single,professional.course,yes,yes,telephone,jul,thu,1,0,1.4,93.918,-42.7,4.966,5228.1,0,no,0
51,blue-collar,married,basic.6y,yes,yes,telephone,may,wed,2,0,1.1,93.994,-36.4,4.858,5191,0,no,0
42,services,married,professional.course,yes,no,telephone,may,wed,1,0,1.1,93.994,-36.4,4.858,5191,0,no,0
37,admin.,single,university.degree,no,yes,cellular,aug,mon,3,0,1.4,93.444,-36.1,4.965,5228.1,0,no,0
33,admin.,married,high.school,yes,yes,telephone,may,thu,2,0,1.1,93.994,-36.4,4.855,5191,0,no,0
39,blue-collar,married,basic.9y,yes,no,cellular,apr,wed,1,1,-1.8,93.075,-47.1,1.445,5099.1,5,no,0
55,services,married,high.school,yes,no,cellular,aug,wed,3,0,1.4,93.444,-36.1,4.963,5228.1,0,no,0
27,services,single,professional.course,yes,no,cellular,jun,tue,1,0,-2.9,92.963,-40.8,1.262,5076.2,0,no,0
24,student,single,high.school,yes,no,cellular,may,tue,2,2,-1.8,93.876,-40,0.682,5008.7,0,no,0
40,services,divorced,basic.9y,yes,no,telephone,apr,fri,3,0,-1.8,93.075,-47.1,1.405,5099.1,0,no,0
38,management,married,professional.course,no,no,telephone,jun,wed,9,0,1.4,94.465,-41.8,4.962,5228.1,0,no,0
25,technician,married,university.degree,no,no,cellular,jul,thu,3,0,1.4,93.918,-42.7,4.963,5228.1,0,no,0
35,technician,married,university.degree,yes,no,telephone,may,tue,3,0,1.1,93.994,-36.4,4.857,5191,0,no,0
34,technician,single,basic.9y,yes,no,telephone,may,thu,3,0,-1.8,92.893,-46.2,1.334,5099.1,0,no,0
39,blue-collar,married,basic.9y,yes,no,telephone,may,wed,9,0,1.1,93.994,-36.4,4.857,5191,0,no,0
61,blue-collar,married,basic.4y,yes,no,cellular,may,wed,1,0,-1.8,92.893,-46.2,1.327,5099.1,0,no,0
53,blue-collar,divorced,basic.9y,no,no,cellular,may,wed,1,0,-1.8,92.893,-46.2,1.281,5099.1,0,no,0
52,admin.,married,university.degree,yes,no,telephone,apr,thu,2,1,-1.8,93.075,-47.1,1.435,5099.1,4,no,0
34,technician,married,professional.course,yes,no,cellular,aug,fri,1,0,1.4,93.444,-36.1,4.966,5228.1,0,no,0
34,technician,single,university.degree,yes,no,cellular,aug,thu,1,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
51,admin.,married,high.school,no,no,cellular,nov,tue,1,0,-0.1,93.2,-42,4.153,5195.8,0,no,0
56,technician,single,professional.course,yes,no,cellular,may,mon,4,1,-1.8,92.893,-46.2,1.354,5099.1,2,no,0
25,student,single,university.degree,yes,no,cellular,aug,mon,1,0,-2.9,92.201,-31.4,0.861,5076.2,0,no,0
28,blue-collar,married,basic.9y,yes,no,telephone,may,fri,3,0,1.1,93.994,-36.4,4.859,5191,0,no,0
41,services,single,high.school,no,no,cellular,apr,wed,1,0,-1.8,93.075,-47.1,1.415,5099.1,0,no,0
37,admin.,divorced,university.degree,no,yes,cellular,may,tue,1,0,-1.8,92.893,-46.2,1.344,5099.1,0,no,0
31,admin.,single,high.school,no,no,telephone,jun,mon,3,0,1.4,94.465,-41.8,4.962,5228.1,0,no,0
52,blue-collar,married,basic.6y,yes,no,cellular,aug,fri,1,0,1.4,93.444,-36.1,4.966,5228.1,0,no,0
45,services,single,high.school,yes,no,cellular,nov,fri,1,0,-0.1,93.2,-42,4.021,5195.8,0,no,0
56,technician,married,university.degree,yes,no,cellular,nov,fri,6,0,-0.1,93.2,-42,4.021,5195.8,0,no,0
51,unemployed,married,basic.9y,no,no,cellular,aug,fri,2,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
42,blue-collar,married,basic.4y,yes,yes,telephone,may,fri,3,0,1.1,93.994,-36.4,4.858,5191,0,no,0
47,services,married,high.school,yes,no,cellular,may,fri,1,0,-1.8,92.893,-46.2,1.25,5099.1,0,no,0
56,technician,married,professional.course,no,no,telephone,jun,thu,1,0,1.4,94.465,-41.8,4.866,5228.1,0,no,0
80,retired,married,basic.4y,no,no,cellular,aug,wed,4,0,-2.9,92.201,-31.4,0.854,5076.2,0,no,0
33,admin.,single,university.degree,yes,no,cellular,aug,thu,1,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
41,technician,married,professional.course,yes,no,telephone,jun,wed,3,0,1.4,94.465,-41.8,4.959,5228.1,0,no,0
49,retired,married,university.degree,no,yes,cellular,aug,tue,1,0,1.4,93.444,-36.1,4.966,5228.1,0,no,0
38,blue-collar,married,basic.4y,yes,no,cellular,may,wed,3,0,-1.8,92.893,-46.2,1.281,5099.1,0,no,0
37,self-employed,married,basic.4y,no,no,telephone,jun,tue,1,0,1.4,94.465,-41.8,4.961,5228.1,0,no,0
44,blue-collar,married,basic.9y,no,no,cellular,may,wed,4,0,-1.8,92.893,-46.2,1.281,5099.1,0,no,0
23,admin.,single,professional.course,no,no,cellular,jul,wed,1,0,1.4,93.918,-42.7,4.963,5228.1,0,no,0
40,admin.,divorced,university.degree,yes,no,telephone,may,tue,1,0,1.1,93.994,-36.4,4.857,5191,0,no,0
28,admin.,single,university.degree,no,no,cellular,aug,mon,1,2,-2.9,92.201,-31.4,0.861,5076.2,8,no,0
28,blue-collar,married,basic.9y,yes,yes,telephone,jul,tue,4,0,1.4,93.918,-42.7,4.961,5228.1,0,no,0
41,unemployed,single,high.school,no,no,cellular,jul,wed,1,0,1.4,93.918,-42.7,4.962,5228.1,0,no,0
54,blue-collar,married,basic.4y,yes,no,cellular,aug,thu,1,0,1.4,93.444,-36.1,4.968,5228.1,0,no,0
52,services,divorced,basic.4y,yes,no,cellular,jun,tue,1,0,-2.9,92.963,-40.8,1.262,5076.2,0,no,0
48,blue-collar,married,basic.9y,yes,no,telephone,may,thu,5,0,1.1,93.994,-36.4,4.86,5191,0,no,0
29,services,married,high.school,yes,no,cellular,nov,thu,4,0,-0.1,93.2,-42,4.076,5195.8,0,no,0
50,management,married,basic.6y,no,no,cellular,apr,fri,4,0,-1.8,93.075,-47.1,1.405,5099.1,0,no,0
38,admin.,married,university.degree,no,no,telephone,may,thu,6,0,-1.8,92.893,-46.2,1.344,5099.1,0,no,0
38,technician,single,university.degree,yes,no,telephone,jun,wed,3,0,-2.9,92.963,-40.8,1.26,5076.2,0,no,0
31,admin.,married,university.degree,no,no,cellular,aug,thu,1,0,1.4,93.444,-36.1,4.968,5228.1,0,no,0
35,student,single,high.school,yes,yes,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191,0,no,0
53,admin.,married,university.degree,no,no,cellular,jul,thu,8,0,1.4,93.918,-42.7,4.968,5228.1,0,no,0
36,blue-collar,married,basic.9y,yes,no,cellular,nov,wed,5,0,-0.1,93.2,-42,4.12,5195.8,0,no,0
57,self-employed,married,university.degree,no,yes,telephone,may,tue,2,0,1.1,93.994,-36.4,4.856,5191,0,no,0
94,retired,married,basic.9y,no,no,cellular,nov,wed,1,1,-3.4,92.649,-30.1,0.716,5017.5,4,no,0
42,admin.,single,basic.9y,yes,no,cellular,jul,mon,3,0,1.4,93.918,-42.7,4.962,5228.1,0,no,0
30,technician,single,professional.course,yes,no,cellular,may,wed,3,0,-1.8,92.893,-46.2,1.281,5099.1,0,no,0
53,retired,married,high.school,yes,no,cellular,nov,mon,1,0,-0.1,93.2,-42,4.191,5195.8,0,no,0
36,admin.,single,high.school,yes,yes,cellular,may,wed,4,0,-1.8,92.893,-46.2,1.281,5099.1,0,no,0
35,admin.,single,university.degree,yes,yes,cellular,apr,thu,1,1,-1.8,93.075,-47.1,1.365,5099.1,1,no,0
31,admin.,married,basic.9y,yes,no,cellular,may,tue,1,1,-1.8,92.893,-46.2,1.266,5099.1,1,no,0
35,technician,divorced,university.degree,yes,no,cellular,may,tue,1,0,-1.8,92.893,-46.2,1.291,5099.1,0,no,0
31,technician,married,university.degree,yes,no,cellular,aug,thu,3,0,1.4,93.444,-36.1,4.964,5228.1,0,no,0
50,management,divorced,high.school,no,no,cellular,jul,tue,1,0,1.4,93.918,-42.7,4.961,5228.1,0,no,0
46,technician,divorced,professional.course,no,no,cellular,jul,tue,3,0,1.4,93.918,-42.7,4.961,5228.1,0,no,0
30,blue-collar,married,basic.9y,no,no,telephone,jun,thu,29,0,1.4,94.465,-41.8,4.866,5228.1,0,no,0
34,blue-collar,married,professional.course,yes,yes,telephone,may,thu,1,0,1.1,93.994,-36.4,4.855,5191,0,no,0
