custAge,profession,marital,schooling,housing,loan,contact,month,day_of_week,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pastEmail,responded,profit
34,admin.,single,university.degree,no,yes,cellular,apr,wed,2,0,-1.8,93.075,-47.1,1.498,5099.1,0,no,NA
31,services,single,high.school,no,no,cellular,jul,thu,35,0,1.4,93.918,-42.7,4.968,5228.1,0,no,NA
NA,admin.,single,high.school,no,no,telephone,jun,NA,1,0,1.4,94.465,-41.8,4.961,5228.1,0,no,NA
52,admin.,divorced,university.degree,yes,no,cellular,jul,tue,2,0,1.4,93.918,-42.7,4.962,5228.1,0,no,NA
39,blue-collar,single,NA,yes,no,cellular,jul,tue,6,0,1.4,93.918,-42.7,4.961,5228.1,0,no,NA
40,entrepreneur,married,NA,yes,no,telephone,jun,thu,3,0,1.4,94.465,-41.8,4.866,5228.1,0,no,NA
50,technician,single,NA,no,no,cellular,jul,tue,3,0,1.4,93.918,-42.7,4.961,5228.1,0,no,NA
41,technician,married,professional.course,no,no,cellular,oct,thu,2,0,-3.4,92.431,-26.9,0.741,5017.5,0,no,NA
23,blue-collar,single,basic.4y,yes,no,telephone,jun,fri,10,0,1.4,94.465,-41.8,4.959,5228.1,0,no,NA
29,technician,married,professional.course,yes,no,cellular,aug,mon,3,0,1.4,93.444,-36.1,4.965,5228.1,0,no,NA
57,retired,married,NA,no,no,telephone,jun,NA,2,0,1.4,94.465,-41.8,4.961,5228.1,0,no,NA
33,blue-collar,married,unknown,no,no,cellular,jul,mon,4,0,1.4,93.918,-42.7,4.96,5228.1,0,no,NA
NA,technician,married,university.degree,yes,no,telephone,oct,wed,1,1,-1.1,94.601,-49.5,0.985,4963.6,2,no,NA
59,housemaid,married,NA,no,no,telephone,jun,thu,12,0,1.4,94.465,-41.8,4.958,5228.1,0,no,NA
38,technician,married,university.degree,no,no,cellular,may,fri,1,1,-1.8,92.893,-46.2,1.313,5099.1,1,no,NA
44,blue-collar,married,NA,yes,yes,cellular,may,mon,2,0,-1.8,92.893,-46.2,1.299,5099.1,0,no,NA
NA,technician,single,NA,yes,yes,telephone,jul,thu,1,0,1.4,93.918,-42.7,4.966,5228.1,0,no,NA
51,blue-collar,married,NA,yes,yes,telephone,may,wed,2,0,1.1,93.994,-36.4,4.858,5191,0,no,NA
NA,services,married,NA,yes,no,telephone,may,wed,1,0,1.1,93.994,-36.4,4.858,5191,0,no,NA
37,admin.,single,university.degree,no,yes,cellular,aug,mon,3,0,1.4,93.444,-36.1,4.965,5228.1,0,no,NA
33,admin.,married,high.school,yes,yes,telephone,may,thu,2,0,1.1,93.994,-36.4,4.855,5191,0,no,NA
39,blue-collar,married,basic.9y,yes,no,cellular,apr,wed,1,1,-1.8,93.075,-47.1,1.445,5099.1,5,no,NA
55,services,married,high.school,yes,no,cellular,aug,NA,3,0,1.4,93.444,-36.1,4.963,5228.1,0,no,NA
27,services,single,professional.course,yes,no,cellular,jun,tue,1,0,-2.9,92.963,-40.8,1.262,5076.2,0,no,NA
24,student,single,high.school,yes,no,cellular,may,tue,2,2,-1.8,93.876,-40,0.682,5008.7,0,no,NA
40,services,divorced,NA,yes,no,telephone,apr,fri,3,0,-1.8,93.075,-47.1,1.405,5099.1,0,no,NA
NA,unknown,married,NA,no,no,telephone,jun,wed,9,0,1.4,94.465,-41.8,4.962,5228.1,0,no,NA
25,technician,married,NA,no,no,cellular,jul,thu,3,0,1.4,93.918,-42.7,4.963,5228.1,0,no,NA
35,technician,married,unknown,yes,no,telephone,may,tue,3,0,1.1,93.994,-36.4,4.857,5191,0,no,NA
34,technician,single,NA,yes,no,telephone,may,NA,3,0,-1.8,92.893,-46.2,1.334,5099.1,0,no,NA
39,blue-collar,married,basic.9y,yes,no,telephone,may,wed,9,0,1.1,93.994,-36.4,4.857,5191,0,no,NA
NA,blue-collar,married,basic.4y,yes,no,cellular,may,NA,1,0,-1.8,92.893,-46.2,1.327,5099.1,0,no,NA
53,blue-collar,divorced,unknown,no,no,cellular,may,wed,1,0,-1.8,92.893,-46.2,1.281,5099.1,0,no,NA
52,admin.,married,university.degree,yes,no,telephone,apr,thu,2,1,-1.8,93.075,-47.1,1.435,5099.1,4,no,NA
34,technician,married,professional.course,yes,no,cellular,aug,fri,1,0,1.4,93.444,-36.1,4.966,5228.1,0,no,NA
34,technician,single,university.degree,yes,no,cellular,aug,thu,1,0,1.4,93.444,-36.1,4.964,5228.1,0,no,NA
51,admin.,married,high.school,no,no,cellular,nov,tue,1,0,-0.1,93.2,-42,4.153,5195.8,0,no,NA
NA,technician,single,NA,yes,no,cellular,may,mon,4,1,-1.8,92.893,-46.2,1.354,5099.1,2,no,NA
NA,student,single,NA,yes,no,cellular,aug,mon,1,0,-2.9,92.201,-31.4,0.861,5076.2,0,no,NA
28,blue-collar,married,basic.9y,yes,no,telephone,may,fri,3,0,1.1,93.994,-36.4,4.859,5191,0,no,NA
41,services,single,high.school,no,no,cellular,apr,wed,1,0,-1.8,93.075,-47.1,1.415,5099.1,0,no,NA
37,admin.,divorced,NA,no,yes,cellular,may,tue,1,0,-1.8,92.893,-46.2,1.344,5099.1,0,no,NA
NA,admin.,single,NA,no,no,telephone,jun,NA,3,0,1.4,94.465,-41.8,4.962,5228.1,0,no,NA
